Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $2647.29543509952/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x9d2b422a7f0b10fd4d6598de206817f6406c6f701052995490e23381f8658d5a,19134497,1706801639,2/1/24 15:33,0x415306782e11e561727ea88ceb5aa13dc8283844,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,2.85,0,7544.79199,0.00575714,15.24085061,2303.34,,,New Offer ETH
0xa9f7e852a80e8fba0ae825ada9bc274f265ea67dc4bdcd7bfa0d3fc480597c02,19134566,1706802479,2/1/24 15:47,0x86b4e65e2739a40d4f0f1a17dec5eda623064c2d,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.50008,0,1323.859501,0.005334911,14.12308662,2303.34,,,Fill Offer ETH
0x62109b80f2c2297449a8a9181385c78fc888b2f72eb64daf29dbad87a4aa82cf,19134572,1706802551,2/1/24 15:49,0xcad16a85868bc59fb09e76102f9bceeea6ac2f8a,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.3,0,794.1886305,0.006145445,16.26880959,2303.34,,,New Offer ETH
0xf17b4616cbb6c417c85e92a02c68eca56d7e8bd67b3bf91e3ecb6ca60c4e5159,19134614,1706803055,2/1/24 15:57,0xea5dcbbf41507220b540da81b84dbda4806dcd5d,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0,0,0,0.002557758,6.771139794,2303.34,,,Cancel Offer
0xcfdf4491e58a5aa129394a934f1f1d25515ded82260c9e3f9f62a5a579fbd66c,19134636,1706803319,2/1/24 16:01,0xf787a96871bf9a9e77a613262c2020b0ee4ecce1,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.040283019,0,106.641052,0.006841204,18.11068757,2303.34,,,Fill Offer ETH
0x3a66f273851773de122e105b62e6416bac1dc3f07cd9f9c666e18a4fc50882c4,19134666,1706803679,2/1/24 16:07,0xea5dcbbf41507220b540da81b84dbda4806dcd5d,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,1,0,2647.295435,0.007000688,18.53288815,2303.34,,,New Offer ETH
0x4ce42a1208f4bcc2d1e048b6fa7b9e72cb1016e838b84fce35b3feefd9a7ef10,19135056,1706808371,2/1/24 17:26,0xae1a1cdb13ec86506831531d9e52456b2c0eb625,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.192703461,0,510.1429931,0.005173981,13.6970558,2303.34,,,Fill Offer ETH
0x01fb9d00a4097190b900a1acecb3690afc4fe6e874d6848058e7d8cfb46a1341,19135430,1706812907,2/1/24 18:41,0x26cb7aa0f7b26fc78058f867dcb4ee23d1f76d9d,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.788306829,0,2086.881069,0.009448598,25.01323004,2303.34,,,Fill Offer ETH
0x97732b4dea19fca036431a74d7b65c150d5d1bc915b0fbfa5457a918484e508c,19135439,1706813015,2/1/24 18:43,0x35b642fedc884856a39154a91cc2674aa279b39a,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.01898971,0,50.27137262,0.009315063,24.65972418,2303.34,,,Fill Offer ETH
0xf1bc994f3cb019614796d19e2013af61a9632333cd7adf412efd12d3bc841052,19136160,1706821679,2/1/24 21:07,0xa69f1d00637317901123fa7739565e60d1ec55f2,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.136792453,0,362.1300359,0.00427376,11.31390596,2303.34,,,Fill Offer ETH
